,0
0,דיברו
1,על
2,מיליארד
3,נתניהו
4,אמר
5,מאות
6,מיליארדים
7,ועכשיו
8,בעצם
9,זה
10,ירד
11,וגם
12,בזה
13,מתגאים
14,בכיס
15,השני
16,אתם
17,משלמים
18,את
19,דרך
20,החשמל
21,שאנחנו
22,עליו
23,דולר
24,ליחידת
25,חום
26,במקום
27,ודרך
28,שלא
29,מטפלים
30,בזיהום
31,האוויר
32,בגלל
33,כדאי
34,להשתמש
35,בגז
36,טבעי
37,כל
38,אחד
39,מכם
40,משלם
41,בשנה
42,שקל
43,מיותרים
44,בחשבון
45,שלו
46,כתוצאה
47,ממתווה
48,הגז
49,לגרום
50,לכך
51,שאזרחי
52,ישראל
53,ישלמו
54,עבור
55,חברת
56,חשמל
57,תעשייה
58,כשהמחיר
59,בעולם
60,הוא
61,בין
62,והגז
63,אצלנו
64,פשוט
65,שערורייה
66,לפי
67,הכללים
68,של
69,ועדת
70,צמח
71,שהממשלה
72,אישרה
73,אותם
74,אם
75,אני
76,זוכר
77,נכון
78,או
79,קצת
80,לאחר
81,מכן
82,חברות
83,היו
84,צריכות
85,לבנות
86,צינור
87,נוסף
88,ממאגר
89,תמר
90,לחוף
91,לא
92,אשדוד
93,לאשקלון
94,בכנס
95,איפאק
96,האחרון
97,הייתה
98,דרמה
99,כי
100,באיפאק
101,נאמר
102,בפעם
103,הראשונה
104,אנחנו
105,תומכים
106,בפתרון
107,שתי
108,המדינות
109,שעל
110,דיברתי
111,הצמיחה
112,בישראל
113,כמעט
114,אפסית
115,הגענו
116,למצב
117,שאין
118,צמיחה
119,לנפש
120,היא
121,כלום
122,שהתחלות
123,הבנייה
124,יורדות
125,שוב
126,גם
127,ברבעון
128,הזה
129,הן
130,ירדו
131,יש
132,ארגון
133,האום
134,שמטפל
135,מיליון
136,פליטים
137,UNHCR
138,מעסיק
139,פקידים
140,אונרא
141,בכחמישה
142,פלסטינים
143,פי
144,שתיים
145,וחצי
146,מה
147,OECD
148,במספר
149,ההרוגים
150,ובמספר
151,הפצועים
152,קשה
153,יור
154,ההסתדרות
155,שבתקופה
156,ותבדקו
157,אותי
158,מספר
159,ימי
160,השביתה
161,המינימליים
162,בעשרים
163,שנה
164,האחרונות
165,בירידת
166,תוצר
167,בתוצר
168,מול
169,מדינות
170,מתקדמות
171,בירידה
172,חוק
173,ההסדרה
174,בא
175,לתת
176,מענה
177,לאלפי
178,יחידות
179,דיור
180,שנבנו
181,בתקציבים
182,המדינה
183,והתברר
184,שיש
185,בעיה
186,קרקעית
187,והוא
188,לכאורה
189,להסדיר
190,העובדים
191,הזרים
192,מאוד
193,הפלסטינים
194,עלה
195,זאת
196,אומרת
197,סך
198,שיעורם
199,בקרב
200,קרוב
201,אלף
202,שנמצאות
203,בבנייה
204,עוד
205,כמות
206,כזו
207,אישרנו
208,ונמצאים
209,בשלבי
210,תכנון
211,שונים
212,בתחילת
213,שנות
214,התשעים
215,רב
216,עירוני
217,היה
218,מוסמך
219,לעשות
220,גיור
221,רק
222,העבירה
223,לטובת
224,האנשים
225,שפעלו
226,בצ
227,רנוביל
228,ביתנו
229,אותו
230,דיברנו
231,הכנסת
232,מינימום
233,לכל
234,הגמלאים
235,להביא
236,משכר
237,המינימום
238,במשק
239,קריטריון
240,שקבע
241,משתייכים
242,אליו
243,בכל
244,בסך
245,הכל
246,מפקחות
247,מעונות
248,יום
249,פקחי
250,בנייה
251,אבל
252,משגיחי
253,כשרות
254,צהל
255,בעצמו
256,אומר
257,שמשנת
258,הולך
259,לצמצם
260,המגויסים
261,מתוך
262,הפנמה
263,צורך
264,בכמות
265,כזאת
266,חיילים
267,במגזר
268,החרדי
269,החילוני
270,גירוש
271,משפחות
272,המחבלים
273,צעד
274,שעשו
275,יצחק
276,רבין
277,כראש
278,ממשלה
279,מטעם
280,מפלגת
281,העבודה
282,עשה
283,ביצע
284,הגירוש
285,אגב
286,במספרים
287,קטנים
288,בכלל
289,כמה
290,עשרות
291,אלפים
292,אולי
293,יותר
294,שנאלצו
295,לעזוב
296,בתיהם
297,משום
298,שהם
299,הפסידו
300,במלחמה
301,מינויה
302,הפרופ
303,יעל
304,אמיתי
305,אושר
306,בשל
307,עמדותיה
308,אלא
309,תמיכתה
310,בסרבנות
311,לשירות
312,בצהל
313,דבר
314,שמהווה
315,עבירה
316,החוק
317,האדם
318,שעליו
319,מבקר
320,קנה
